CVE,Reference ID(s),Type,Severity,Component,Reference URLs
CVE-2020-0030,A-145286050,EoP,High,Binder driver,https://android.googlesource.com/kernel/common/+/5eeb2ca0
CVE-2019-11599,A-131964235,EoP,High,Memory Map Subsystem,https://android.googlesource.com/kernel/common/+/04f5866e41fb70690e28397487d8bd8eea7d712a;https://android.googlesource.com/kernel/common/+/3378ce511d7a792ddf0d69d11ce5e284309893fd
