CVE,Reference ID(s),Type,Severity,Updated AOSP versions,Reference URLs
CVE-2020-0380,A-146398979,RCE,Critical,"8.0, 8.1, 9, 10",https://android.googlesource.com/platform/system/bt/+/59c234a8fddda37147bb3fe1dd3b3a668828bcab
CVE-2020-0396,A-155094269,ID,Critical,"8.0, 8.1, 9, 10",https://android.googlesource.com/platform/frameworks/opt/telephony/+/21e03356b28be08e2d5aeac15a446f820f95fb70;https://android.googlesource.com/platform/frameworks/opt/telephony/+/e18b8b2dbb553caf3f8f14f40f6b8f7da50b6eff;https://android.googlesource.com/platform/frameworks/opt/telephony/+/08ba90fdc20cb8a1c2e6d25d88bda00217191e76;https://android.googlesource.com/platform/frameworks/opt/telephony/+/89763569eacb10c4043d8937c948130b1f816e79;https://android.googlesource.com/platform/frameworks/opt/telephony/+/ed0820373c236b4ef779653b08ea056e7325b0ed;https://android.googlesource.com/platform/frameworks/opt/telephony/+/76decc9e24f07f82af8953c80d2873020a771658;https://android.googlesource.com/platform/frameworks/opt/telephony/+/1e6c7f615eb78811b8ba3136c6f4a052ca3b6cf0;https://android.googlesource.com/platform/frameworks/opt/telephony/+/0126084de146b51a842d7604cddb3303f46cade7;https://android.googlesource.com/platform/packages/apps/Settings/+/f3afef8419de2910b03c3670ca25e63ac3c08407
CVE-2020-0386,A-155650356,EoP,High,"8.0, 8.1, 9, 10",https://android.googlesource.com/platform/packages/apps/Settings/+/ba7f6d7d45776254791dea3b1f5d2acc0dc9b2dd
CVE-2020-0394,A-155648639,EoP,High,"8.0, 8.1, 9, 10",https://android.googlesource.com/platform/packages/apps/Settings/+/f3afef8419de2910b03c3670ca25e63ac3c08407
CVE-2020-0379,A-150156492,ID,High,"8.0, 8.1, 9, 10",https://android.googlesource.com/platform/system/bt/+/85b5df1d0dcc782ed5afc1dcf9247880416d5fbd
