CVE,Reference ID(s),Type,Severity,Updated AOSP versions,Reference URLs
CVE-2021-0325,A-174238784,RCE,High,"10, 11",https://android.googlesource.com/platform/external/libavc/+/fd7e28588f149c1683c4f7a0a1c543f51b1cd41a
RCE,Critical,"8.1, 9",
CVE-2021-0332,A-169256435,EoP,High,"10, 11",https://android.googlesource.com/platform/frameworks/native/+/dc057e52f571ca88f037a4501bf666c9eeffde23
CVE-2021-0335,A-160346309,ID,High,11,https://android.googlesource.com/platform/frameworks/av/+/5fe4a516e5f194b03153a9f544b4f79da18c46d0
