CVE,Reference ID(s),Type,Severity,Updated AOSP versions,Reference URLs
CVE-2020-0094,A-148223871,EoP,High,"9, 10",https://android.googlesource.com/platform/frameworks/av/+/64212a424b4819efb3b6c66e14f6b2b1b1023d4f
CVE-2020-0093,A-148705132,ID,High,"8.0, 8.1, 9, 10",https://android.googlesource.com/platform/external/libexif/+/0335ffc17f9b9a4831c242bb08ea92f605fde7a6
CVE-2020-0100,A-150156584,ID,High,"8.0, 8.1",https://android.googlesource.com/platform/frameworks/av/+/cf4c5675c2c7ab822ed1ff12350c78575153f3cb
CVE-2020-0101,A-144767096,ID,High,"8.0, 8.1, 9, 10",https://android.googlesource.com/platform/frameworks/av/+/63889889c06e95529432177c457d6cdb4fcecac8
